Time,Open,High,Low,Last,Change,Volume
2005-03-17 16:00,20955.01,20957.9,20955.01,20957.9,3.64,30254426
2005-03-17 15:00,20949.69,20972.74,20946.47,20954.26,4.76,69501970
2005-03-17 14:00,20931.62,20955.44,20922.5,20949.5,17.92,35352344
2005-03-17 13:00,20930.37,20937.03,20901.47,20931.58,1.84,25499232
2005-03-17 12:00,20937.11,20946.91,20921.2,20929.74,-8.3,29975369
2005-03-17 11:00,20886.76,20939.22,20885.31,20938.04,51.21,33990602
2005-03-17 10:00,20920.79,20926.15,20874.18,20886.83,-33.96,48583713
2005-03-17 9:00,20915,20925.43,20901.78,20920.79,-29.1,33649441
2005-02-17 16:00,20946.77,20949.89,20946.47,20949.89,3.56,39756443
2005-02-17 15:00,20926.74,20948.35,20921.81,20946.33,19.52,70444439
2005-02-17 14:00,20939.28,20949.1,20920.62,20926.81,-12.51,32819985
2005-02-17 13:00,20944.16,20949.15,20933.82,20939.32,-5.04,25794565
2005-02-17 12:00,20938,20957.06,20937.83,20944.36,6.37,32171134
2005-02-17 11:00,20930.92,20942.46,20904.06,20937.99,6.81,43445858
2005-02-17 10:00,20909.31,20940.1,20905.21,20931.18,20.16,52600714
2005-02-17 9:00,20941.19,20960.92,20909.58,20911.02,-2.44,37480491
2005-01-17 16:00,20921.3,20921.3,20913.46,20913.46,-6.78,32602436
2005-01-17 15:00,20949.82,20963.04,20919.76,20920.24,-29.58,64058789
2005-01-17 14:00,20959.68,20976.62,20940.77,20949.82,-6.81,30834373
2005-01-17 13:00,20928.83,20956.63,20923.02,20956.63,27.93,28008484
2005-01-17 12:00,20948.3,20962.59,20898.38,20928.7,-19.51,31259120
2005-01-17 11:00,20966.78,20969.54,20936.09,20948.21,-18.7,30128900
2005-01-17 10:00,20941.06,20971.51,20912.46,20966.91,25.75,38019647
2005-01-17 9:00,20962.73,20964.81,20931.58,20941.16,0.65,32263055
04/28/17 16:00,20936.54,20940.65,20936.54,20940.51,1.51,50743302
04/28/17 15:00,20934.6,20953.36,20928.52,20939,4.43,69028464
04/28/17 14:00,20942.1,20947.33,20926.75,20934.57,-7.46,29909483
04/28/17 13:00,20951.36,20952.11,20933.87,20942.03,-9.23,24272149
04/28/17 12:00,20946.91,20966.39,20943.93,20951.26,4.45,27856466
04/28/17 11:00,20961.91,20968.14,20934.93,20946.81,-15.27,34959565
04/28/17 10:00,20969.51,20969.51,20931.72,20962.08,-4.79,42005784
04/28/17 09:00,20987.39,20987.76,20956.21,20966.87,-14.46,45137156
04/27/17 16:00,20982.9,20982.97,20981.26,20981.33,-2.39,30599341
04/27/17 15:00,20992.82,20993.49,20968.59,20983.72,-9.15,66648250
04/27/17 14:00,20987.75,20999.03,20978.97,20992.87,5.23,29595980
04/27/17 13:00,21005.48,21005.48,20983.97,20987.64,-17.81,30943890
04/27/17 12:00,20947.43,21005.57,20944.41,21005.45,57.89,32845244
04/27/17 11:00,20956.16,20964.83,20935.8,20947.56,-8.3,35256178
04/27/17 10:00,20983.76,21005.8,20937.84,20955.86,-27.83,44883395
04/27/17 09:00,20991.12,21000.75,20973.5,20983.69,8.6,30431086
04/26/17 16:00,20978.25,20979.48,20975.09,20975.09,-2.06,36967014
04/26/17 15:00,21025.35,21044.17,20972.27,20977.15,-48.15,66146320
04/26/17 14:00,21030.92,21044.28,21013.83,21025.3,-6.63,32497348
04/26/17 13:00,21061.36,21068.44,21015.18,21031.93,-30.06,31884570
04/26/17 12:00,21035.29,21065.94,21029.71,21061.99,27.29,30513240
04/26/17 11:00,21033.22,21070.9,21020.14,21034.7,1.58,43013733
04/26/17 10:00,21023.24,21035.86,21013.81,21033.12,10.41,46320359
04/26/17 09:00,21009.95,21033.52,20996.19,21022.71,26.59,37270121
04/25/17 16:00,20997.08,20997.08,20995.78,20996.12,-1.28,45721115
04/25/17 15:00,21001.78,21024.53,20995.81,20997.4,-4.5,70848433
04/25/17 14:00,21013.29,21026.97,20997.23,21001.9,-11.63,33016519
04/25/17 13:00,20996.86,21025.63,20995.56,21013.53,16.64,29089124
04/25/17 12:00,21004.14,21017.86,20988.13,20996.89,-7.28,30178436
04/25/17 11:00,20988.76,21014.91,20986.31,21004.17,15.15,38195915
04/25/17 10:00,20967.42,21003.9,20963.21,20989.02,21.11,50056582
04/25/17 09:00,20915.51,20973.92,20909.38,20967.91,204.02,47109127
04/24/17 16:00,20765.26,20766.05,20763.69,20763.89,-0.48,46262675
04/24/17 15:00,20771.7,20788.96,20761.21,20764.37,-6.81,69305755
04/24/17 14:00,20775.29,20792.2,20764.44,20771.18,-4.07,32776303
04/24/17 13:00,20758.89,20778.39,20757.77,20775.25,16.32,27979532
04/24/17 12:00,20741.32,20766.05,20741.32,20758.93,18.4,27373658
04/24/17 11:00,20762.92,20771.77,20732.62,20740.53,-22.57,37045812
04/24/17 10:00,20758.33,20781.29,20751.53,20763.1,4.89,49598060
04/24/17 09:00,20731.36,20763.81,20731.36,20758.21,210.45,47162588
04/21/17 16:00,20550.94,20550.94,20547.76,20547.76,-2.86,31761715
04/21/17 15:00,20581.52,20583.04,20547.62,20550.62,-30.64,72926888
04/21/17 14:00,20572.36,20593.04,20566.01,20581.26,8.68,35457114
04/21/17 13:00,20560.82,20577.69,20505.33,20572.58,11.66,36260956
04/21/17 12:00,20588.03,20589.32,20557.62,20560.92,-27.22,33051812
04/21/17 11:00,20569.83,20597.24,20550.01,20588.14,18.19,41190882
04/21/17 10:00,20572.27,20589.39,20559,20569.95,-1.16,47362117
04/21/17 09:00,20578.1,20601.4,20561.66,20571.11,-7.6,53559283
04/20/17 16:00,20580.53,20580.6,20578.71,20578.71,-1,34190229
04/20/17 15:00,20600.44,20614.09,20577.31,20579.71,-20.81,68045882
04/20/17 14:00,20621.63,20623.35,20596.45,20600.52,-20.98,32151447
